Continent,country,count
Africa,EGYPT,1,177
Africa,MAURITIUS,2,198
Africa,MOROCCO,1,580
Africa,SOUTH AFRICA,53,989
Africa,TUNISIA,1,035
Asia,CHINA,126,743
Asia,INDIA,1,320,135
Asia,India,45,201
Asia,INDONESIA,378,957
Asia,JAPAN,917,600
Asia,KAZAKHSTAN,1,400
Asia,MALAYSIA,127,286
Asia,NEPAL,1,438
Asia,PHILIPPINES,164,400
Asia,SAUDI ARABIA,1,201
Asia,Singapore,2,628
Asia,SINGAPORE,94,147
Asia,SRI LANKA,1,230
Asia,Thailand,4,634
Asia,THAILAND,125,062
Asia,TURKEY,1,848
Europe,ANDORRA,2,687
Europe,AUSTRIA,107,625
Europe,Austria,4,380
Europe,BELGIUM,53,043
Europe,CYPRUS,5,746
Europe,DENMARK,28,381
Europe,ESTONIA,2,122
Europe,FINLAND,65,730
Europe,FRANCE,561,140
Europe,France,57,997
Europe,Germany,36,601
Europe,GERMANY,517,376
Europe,GREECE,28,642
Europe,HUNGARY,13,914
Europe,ICELAND,3,451
Europe,IRELAND,10,352
Europe,ITALY,2,092,034
Europe,Italy,23,540
Europe,LATVIA,6,346
Europe,LITHUANIA,1,011
Europe,LUXEMBOURG,6,407
Europe,MALTA,5,854
Europe,Netherlands,7,444
Europe,NETHERLANDS,51,472
Europe,NORWAY,29,506
Europe,POLAND,134,977
Europe,PORTUGAL,4,430
Europe,ROMANIA,2,907
Europe,SAN MARINO,2,456
Europe,SLOVAKIA,32,566
Europe,Spain,270,861
Europe,SPAIN,971,420
Europe,SWEDEN,125,574
Europe,Sweden,26,593
Europe,SWITZERLAND,9,365
Europe,UKRAINE,2,975
Europe,United Kingdom,63,813
Europe,UNITED KINGDOM,410,574
Americas,ANTIGUA AND BARBUDA,1,279
Americas,BAHAMAS,1,895
Americas,BARBADOS,2,238
Americas,CANADA,6,317
Americas,Canada,1,825,554
Americas,COSTA RICA,1,037
Americas,JAMAICA,5,616
Americas,MEXICO,529,971
Americas,Mexico,40,857
Americas,PANAMA,11,702
Americas,SAINT LUCIA,1,433
Americas,TRINIDAD AND TOBAGO,1,331
Oceania,Australia,85,210
Oceania,AUSTRALIA,943,811
Oceania,FIJI,1,072
Oceania,NEW ZEALAND,92,960
Oceania,New Zealand,8,055
Americas,ARGENTINA,632,790
Americas,BOLIVIA,1,863
Americas,BRAZIL,9,804
Americas,CHILE,1,021
Americas,COLOMBIA,99,380
Americas,PARAGUAY,2,475
Asia,MACAO,2,728
Asia,TAIWAN,224,035
Europe,NETHERLANDS,102,664
Americas,BOLIVIA(PLURINATIONAL STATEOF),1,344
Europe,NETHERLANDS ANTILLES,8,906
Oceania,NEW CALEDONIA,1,819
Asia,HONG KONG,113,088
Americas,SINT MAARTEN (DUTCH PART),2,126
Europe,RUSSIAN FEDERATION,53,689
Oceania,BERMUDA,1,963
Asia,UNITED ARAB EMIRATES,1,925
Americas,ARUBA,7,471
Europe,UNITED KINGDOM OF GB AND NI,1,380,107
Europe,FRENCH POLYNESIA,1,241
Asia,PHILIPPINES (THE),1,546
Americas,UNITED STATES,1,642
Asia,KOREA, REPUBLIC OF,2,110
Europe,CZECH REPUBLIC,16,528
Americas,CURACAO,2,255
Americas,USA,20,459,332